Task_Description,Complexity,Category
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Resolve conflict between team members,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Write python script for automation,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Write python script for automation,Medium,Augment
Mentor junior developer,High,Human-Only
Resolve conflict between team members,High,Human-Only
Conduct performance review,High,Human-Only
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Order office supplies,Low,Automate
Mentor junior developer,High,Human-Only
Order office supplies,Low,Automate
Write python script for automation,Medium,Augment
Resolve conflict between team members,High,Human-Only
Approve holiday requests,Low,Automate
Resolve conflict between team members,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Resolve conflict between team members,High,Human-Only
Conduct performance review,High,Human-Only
Resolve conflict between team members,High,Human-Only
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Write python script for automation,Medium,Augment
Mentor junior developer,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Conduct performance review,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Update client database,Low,Automate
Mentor junior developer,High,Human-Only
Order office supplies,Low,Automate
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Resolve conflict between team members,High,Human-Only
Order office supplies,Low,Automate
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Write python script for automation,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Mentor junior developer,High,Human-Only
Order office supplies,Low,Automate
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Schedule weekly team sync,Low,Automate
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Update client database,Low,Automate
Order office supplies,Low,Automate
Debug server crash,Medium,Augment
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Debug server crash,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Update client database,Low,Automate
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Approve holiday requests,Low,Automate
Approve holiday requests,Low,Automate
Resolve conflict between team members,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Update client database,Low,Automate
Order office supplies,Low,Automate
Resolve conflict between team members,High,Human-Only
Resolve conflict between team members,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Debug server crash,Medium,Augment
Update client database,Low,Automate
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Conduct performance review,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Write python script for automation,Medium,Augment
Approve holiday requests,Low,Automate
Write python script for automation,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Order office supplies,Low,Automate
Approve holiday requests,Low,Automate
Negotiate contract with vendor,High,Human-Only
Debug server crash,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Schedule weekly team sync,Low,Automate
Resolve conflict between team members,High,Human-Only
Schedule weekly team sync,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Order office supplies,Low,Automate
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Conduct performance review,High,Human-Only
Approve holiday requests,Low,Automate
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Write python script for automation,Medium,Augment
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Schedule weekly team sync,Low,Automate
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Conduct performance review,High,Human-Only
Debug server crash,Medium,Augment
Write python script for automation,Medium,Augment
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Conduct performance review,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Mentor junior developer,High,Human-Only
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Debug server crash,Medium,Augment
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Debug server crash,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Approve holiday requests,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Write python script for automation,Medium,Augment
Approve holiday requests,Low,Automate
Negotiate contract with vendor,High,Human-Only
Update client database,Low,Automate
Resolve conflict between team members,High,Human-Only
Approve holiday requests,Low,Automate
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Mentor junior developer,High,Human-Only
Write python script for automation,Medium,Augment
Schedule weekly team sync,Low,Automate
Negotiate contract with vendor,High,Human-Only
Approve holiday requests,Low,Automate
Order office supplies,Low,Automate
Approve holiday requests,Low,Automate
Schedule weekly team sync,Low,Automate
Conduct performance review,High,Human-Only
Schedule weekly team sync,Low,Automate
Debug server crash,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Schedule weekly team sync,Low,Automate
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Schedule weekly team sync,Low,Automate
Analyze Q3 sales data,Medium,Augment
Resolve conflict between team members,High,Human-Only
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Conduct performance review,High,Human-Only
Order office supplies,Low,Automate
Mentor junior developer,High,Human-Only
Conduct performance review,High,Human-Only
Update client database,Low,Automate
Schedule weekly team sync,Low,Automate
Analyze Q3 sales data,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Write python script for automation,Medium,Augment
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Mentor junior developer,High,Human-Only
Schedule weekly team sync,Low,Automate
Update client database,Low,Automate
Order office supplies,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Debug server crash,Medium,Augment
Resolve conflict between team members,High,Human-Only
Approve holiday requests,Low,Automate
Approve holiday requests,Low,Automate
Write python script for automation,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Approve holiday requests,Low,Automate
Update client database,Low,Automate
Approve holiday requests,Low,Automate
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Schedule weekly team sync,Low,Automate
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Conduct performance review,High,Human-Only
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Conduct performance review,High,Human-Only
Update client database,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Update client database,Low,Automate
Analyze Q3 sales data,Medium,Augment
Mentor junior developer,High,Human-Only
Mentor junior developer,High,Human-Only
Debug server crash,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Mentor junior developer,High,Human-Only
Conduct performance review,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Approve holiday requests,Low,Automate
Analyze Q3 sales data,Medium,Augment
Schedule weekly team sync,Low,Automate
Schedule weekly team sync,Low,Automate
Mentor junior developer,High,Human-Only
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Mentor junior developer,High,Human-Only
Resolve conflict between team members,High,Human-Only
Mentor junior developer,High,Human-Only
Conduct performance review,High,Human-Only
Conduct performance review,High,Human-Only
Approve holiday requests,Low,Automate
Write python script for automation,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Resolve conflict between team members,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Write python script for automation,Medium,Augment
Schedule weekly team sync,Low,Automate
Schedule weekly team sync,Low,Automate
Analyze Q3 sales data,Medium,Augment
Schedule weekly team sync,Low,Automate
Debug server crash,Medium,Augment
Schedule weekly team sync,Low,Automate
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Order office supplies,Low,Automate
Conduct performance review,High,Human-Only
Order office supplies,Low,Automate
Approve holiday requests,Low,Automate
Conduct performance review,High,Human-Only
Schedule weekly team sync,Low,Automate
Conduct performance review,High,Human-Only
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Write python script for automation,Medium,Augment
Write python script for automation,Medium,Augment
Write python script for automation,Medium,Augment
Mentor junior developer,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Debug server crash,Medium,Augment
Update client database,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Mentor junior developer,High,Human-Only
Write python script for automation,Medium,Augment
Debug server crash,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Schedule weekly team sync,Low,Automate
Resolve conflict between team members,High,Human-Only
Schedule weekly team sync,Low,Automate
Conduct performance review,High,Human-Only
Write python script for automation,Medium,Augment
Approve holiday requests,Low,Automate
Order office supplies,Low,Automate
Analyze Q3 sales data,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Mentor junior developer,High,Human-Only
Approve holiday requests,Low,Automate
Update client database,Low,Automate
Write python script for automation,Medium,Augment
Schedule weekly team sync,Low,Automate
Mentor junior developer,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Update client database,Low,Automate
Mentor junior developer,High,Human-Only
Mentor junior developer,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Write python script for automation,Medium,Augment
Schedule weekly team sync,Low,Automate
Negotiate contract with vendor,High,Human-Only
Update client database,Low,Automate
Analyze Q3 sales data,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Order office supplies,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Order office supplies,Low,Automate
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Update client database,Low,Automate
Order office supplies,Low,Automate
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Resolve conflict between team members,High,Human-Only
Approve holiday requests,Low,Automate
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Schedule weekly team sync,Low,Automate
Approve holiday requests,Low,Automate
Schedule weekly team sync,Low,Automate
Mentor junior developer,High,Human-Only
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Debug server crash,Medium,Augment
Update client database,Low,Automate
Conduct performance review,High,Human-Only
Schedule weekly team sync,Low,Automate
Approve holiday requests,Low,Automate
Write python script for automation,Medium,Augment
Mentor junior developer,High,Human-Only
Update client database,Low,Automate
Resolve conflict between team members,High,Human-Only
Update client database,Low,Automate
Schedule weekly team sync,Low,Automate
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Mentor junior developer,High,Human-Only
Conduct performance review,High,Human-Only
Schedule weekly team sync,Low,Automate
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Approve holiday requests,Low,Automate
Conduct performance review,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Resolve conflict between team members,High,Human-Only
Update client database,Low,Automate
Negotiate contract with vendor,High,Human-Only
Mentor junior developer,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Debug server crash,Medium,Augment
Write python script for automation,Medium,Augment
Negotiate contract with vendor,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Schedule weekly team sync,Low,Automate
Update client database,Low,Automate
Update client database,Low,Automate
Order office supplies,Low,Automate
Mentor junior developer,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Update client database,Low,Automate
Write python script for automation,Medium,Augment
Resolve conflict between team members,High,Human-Only
Write python script for automation,Medium,Augment
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Schedule weekly team sync,Low,Automate
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Write python script for automation,Medium,Augment
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Mentor junior developer,High,Human-Only
Write python script for automation,Medium,Augment
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Debug server crash,Medium,Augment
Update client database,Low,Automate
Schedule weekly team sync,Low,Automate
Negotiate contract with vendor,High,Human-Only
Update client database,Low,Automate
Schedule weekly team sync,Low,Automate
Resolve conflict between team members,High,Human-Only
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Mentor junior developer,High,Human-Only
Write python script for automation,Medium,Augment
Conduct performance review,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Order office supplies,Low,Automate
Order office supplies,Low,Automate
Schedule weekly team sync,Low,Automate
Order office supplies,Low,Automate
Approve holiday requests,Low,Automate
Update client database,Low,Automate
Analyze Q3 sales data,Medium,Augment
Mentor junior developer,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Conduct performance review,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Write python script for automation,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Order office supplies,Low,Automate
Negotiate contract with vendor,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Analyze Q3 sales data,Medium,Augment
Update client database,Low,Automate
Mentor junior developer,High,Human-Only
Update client database,Low,Automate
Conduct performance review,High,Human-Only
Order office supplies,Low,Automate
Order office supplies,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Schedule weekly team sync,Low,Automate
Update client database,Low,Automate
Analyze Q3 sales data,Medium,Augment
Order office supplies,Low,Automate
Order office supplies,Low,Automate
Update client database,Low,Automate
Order office supplies,Low,Automate
Resolve conflict between team members,High,Human-Only
Schedule weekly team sync,Low,Automate
Draft strategic vision for 2026,High,Human-Only
Schedule weekly team sync,Low,Automate
Write python script for automation,Medium,Augment
Draft strategic vision for 2026,High,Human-Only
Mentor junior developer,High,Human-Only
Debug server crash,Medium,Augment
Conduct performance review,High,Human-Only
Approve holiday requests,Low,Automate
Mentor junior developer,High,Human-Only
Resolve conflict between team members,High,Human-Only
Resolve conflict between team members,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Debug server crash,Medium,Augment
Approve holiday requests,Low,Automate
Approve holiday requests,Low,Automate
Update client database,Low,Automate
Mentor junior developer,High,Human-Only
Resolve conflict between team members,High,Human-Only
Conduct performance review,High,Human-Only
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Resolve conflict between team members,High,Human-Only
Debug server crash,Medium,Augment
Analyze Q3 sales data,Medium,Augment
Write python script for automation,Medium,Augment
Conduct performance review,High,Human-Only
Draft strategic vision for 2026,High,Human-Only
Conduct performance review,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Negotiate contract with vendor,High,Human-Only
Write python script for automation,Medium,Augment
